Year (yyyy),Month (MON),Vessel,Contributor,Subarea,Survey name,Density estimate (g m-2),CV of density estimate (%),CV estimation method,Survey area (km2),Echosounder model,Frequency used for biomass estimate (kHz),Other frequencies available,Method used for target identification,dB-difference window,TS model used,Depth range integrated (m),Time of day sampled ,Stratum name,Survey design description,Reference,Note,empty1,sourceexl,Net,Tow design,ASAM_NOTES
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,11.9,23.76,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,42.8,17.81,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,1.86,20.96,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,6.83,32.08,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,8.41,36.5,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,43,32.7,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2008,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08D,22.6,47.5,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,Elephant Island,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1997,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 97A,49.68,69.19,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1998,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98A,36.97,17.22,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,42.11,12.63,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,15.55,13.47,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,32.87,32.11,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,27.19,60.24,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,2.16,52.7,Jolly and Hampton,8102,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,2.23,44.88,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,1.38,40.67,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,14.45,23.9,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,18.73,25.06,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,9.51,26.21,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,4.59,88.82,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,16.38,14.08,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,4.52,39.01,Jolly and Hampton,24479,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,45.72,15.95,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,8.65,42.56,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,20.46,50.9,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2008,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08D,10.3,62.2,Jolly and Hampton,24479,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,South,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1997,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 97A,45.5,28.04,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1998,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98A,55.24,19.24,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,53.19,23.57,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,16.49,31.22,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
1999,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99D,16.29,33.35,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,36.62,33.15,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,5.43,19.95,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,8.46,38.92,Jolly and Hampton,34149,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,0.86,30.1,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,1.39,54.25,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,29.89,16.5,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,38.7,21.25,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,18.36,9.26,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,10.78,43.25,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,25.5,18.47,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,9.95,62.81,Jolly and Hampton,38524,EK500,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,2.53,22.85,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,11.43,21.44,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2008,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 08A,32.1,40.1,Jolly and Hampton,38524,EK60,120,"38, 200",dB difference (120-38 & 200-120),"4 to 16,-4 to 2 ",Greene et al. 1991,500m,daylight only,West,,"Reiss et al, 2008",,,USA,1.8m IKMT,Non-targeted Oblique,"Same surveys as above, but done with Greene model"
2018,Apr,Polarstern,"Germany, China, Australia",48.1,"Germany, China, Australia",108.9,12.3,"Here, the CV were simply calculated as the S.E/Mean x 100% for each stratum or entire survey area",115526,Simrad EK60,120,"38,70,200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,entire survey area,Transect,,,,GER,,,
2018,Apr,Polarstern,"Germany, China, Australia",48.1,"Germany, China, Australia",64,22.1,"Here, the CV were simply calculated as the S.E/Mean x 100% for each stratum or entire survey area",24479,Simrad EK60,120,"38,70,200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Bransfield,Transect,,,,GER,,,
2018,Apr,Polarstern,"Germany, China, Australia",48.1,"Germany, China, Australia",125.9,42.7,"Here, the CV were simply calculated as the S.E/Mean x 100% for each stratum or entire survey area",29031,Simrad EK60,120,"38,70,200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands North,Transect,,,,GER,,,
2018,Apr,Polarstern,"Germany, China, Australia",48.1,"Germany, China, Australia",65,21.7,"Here, the CV were simply calculated as the S.E/Mean x 100% for each stratum or entire survey area",43865,Simrad EK60,120,"38,70,200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Elephant Island,Transect,,,,GER,,,
2018,Apr,Polarstern,"Germany, China, Australia",48.1,"Germany, China, Australia",213.7,10.4,"Here, the CV were simply calculated as the S.E/Mean x 100% for each stratum or entire survey area",18151,Simrad EK60,120,"38,70,200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,Joinville,Transect,,,,GER,,,
2011,Feb,Saga Sea,IMR,48.2,S482_SS_2011,108.69,18,Jolly and Hampton,27000,ES60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2015/54; Skaret et al. WG-EMM-2019/69,,,NOR,,,
2012,Jan,Juvel,"IMR, YSFRI, BAS",48.2,S482_J_2011,86.93,32,Jolly and Hampton,27000,ES60,120,70,dB difference (120-70),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2015/54; Skaret et al. WG-EMM-2019/69,,,NOR,,,
2013,Jan,Saga Sea,"IMR, YSFRI, BAS",48.2,S482_SS_2011,*,,Jolly and Hampton,27000**,ES60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2015/54; Skaret et al. WG-EMM-2019/69,,,NOR,,,*No density estimate due to low proportion of survey area covered_**Reduced coverage due to ice  
2014,Jan,Saga Sea,IMR,48.2,S482_SS_2011,148.29,41,Jolly and Hampton,27000,ES60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2015/54; Skaret et al. WG-EMM-2019/69,,,NOR,,,
2015,Feb,Juvel,IMR,48.2,S482_J_2011,7.1,49,Jolly and Hampton,27000**,ES60,70,38,dB difference (120-70)***,variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2015/54; Skaret et al. WG-EMM-2019/69,,,NOR,,,**Reduced coverage due to ice_***This frequency combination does not work well for discrimination 
2016,Feb,Saga Sea,IMR,48.2,S482_SS_2011,57.19,45,Jolly and Hampton,27000,ES60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2019/69,,,NOR,,,
2017,Feb,Saga Sea,"IMR, YSFRI",48.2,S482_SS_2011,42.23,26,Jolly and Hampton,27000,ES60,120,38,dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2019/69,,,NOR,,,
2018,Feb,Juvel,IMR,48.2,S482_J_2011,71.09,26,Jolly and Hampton,27000,ES60,120,"38, 70",dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2019/69,,,NOR,,,
2019,Feb,Kronprins Haakon,IMR,48.2,S482_KPH_2019,69.87,19,Jolly and Hampton,27000,EK80,120,"18, 38, 70, 200, 333",dB difference (120-38),variable,full SDWBA (ASAM 2010 parameterisation),250,day and night,SOI,Parallel transects,Skaret et al. WG-EMM-2019/69; Macaulay et al. SG-ASAM-2019/08 Rev. 1,,,NOR,,,
1989,Dec,Cariboo,Italy (CNR IRBIM),88.1,,8.278307498,,,15000,BioSonics 102,120,38,dB difference (120-38),fix,Fluid sphere model. TS equation: Greene et al. 1991,200,day and night,Western Ross Sea,zig-zag transects,"Azzali M. & Kalinowski J., 2000. Spatial and temporal distribution of krill Euphausia superba biomass in the Ross Sea (1989-90 and 1994). Faranda, Guglielmo, Ionora (Eds) Ross Sea Ecology, 31, 433-455",,,ITA,,,
1990,Jan,Cariboo,Italy (CNR IRBIM),88.1,,9.146525297,,,27000,BioSonics 102,120,38,dB difference (120-38),fix,Fluid sphere model. TS equation: Greene et al. 1992,200,day and night,Western Ross Sea,zig-zag transects,"Azzali M. & Kalinowski J., 2000. Spatial and temporal distribution of krill Euphausia superba biomass in the Ross Sea (1989-90 and 1994). Faranda, Guglielmo, Ionora (Eds) Ross Sea Ecology, 31, 433-456",,,ITA,,,
1994,Nov,Italica,Italy (CNR IRBIM),88.1,,21.85394976,,,31800*,BioSonics 102,120,38,dB difference (120-38),fix,Fluid sphere model. TS equation: Greene et al. 1993,200,day and night,Western Ross Sea,Parallel transects,"Azzali M. & Kalinowski J., 2000. Spatial and temporal distribution of krill Euphausia superba biomass in the Ross Sea (1989-90 and 1994). Faranda, Guglielmo, Ionora (Eds) Ross Sea Ecology, 31, 433-457",,,ITA,,,*Reduced spatial extent due to ice cover
1994,Dec,Italica,Italy (CNR IRBIM),88.1,,21.77390952,,,37200,BioSonics 102,120,38,dB difference (120-38),fix,Fluid sphere model. TS equation: Greene et al. 1994,200,day and night,Western Ross Sea,Parallel transects,"Azzali M. & Kalinowski J., 2000. Spatial and temporal distribution of krill Euphausia superba biomass in the Ross Sea (1989-90 and 1994). Faranda, Guglielmo, Ionora (Eds) Ross Sea Ecology, 31, 433-458",,,ITA,,,
1997,Dec,Italica,Italy (CNR IRBIM),88.1,,16.30624753,,,39600,EK500,120,"38, 200","dB difference (120-38, 200-38, 200-120)",fix,Fluid sphere model. TS equation: Greene et al. 1995,200,day and night,Western Ross Sea,Parallel transects,"Azzali M., Leonori I. and Lanciani G. 2004. A hybrid approach to acoustical classification and length estimation of krill. CCAMLR Science, 11, 33-58",,,ITA,,,
2000,Jan,Italica,Italy (CNR IRBIM),88.1,,5.922502164,,,60600,EK500,120,"38, 200","dB difference (120-38, 200-38, 200-120)",fix,Fluid sphere model. TS equation: Greene et al. 1996,200,day and night,Western Ross Sea,Parallel transects,"Azzali M., Leonori I., De Felice A., Russo A., 2006. Spatial-temporal relationships between two Euphausiid species in the Ross Sea. Chemistry and Ecology, 22 (1), 219 - 233",,,ITA,,,
2004,Jan,Italica,Italy (CNR IRBIM),88.1,,5.259348377,,,58800,EK500,120,"38, 200","dB difference (120-38, 200-38, 200-120)",fix,Fluid sphere model. TS equation: Greene et al. 1997,200,day and night,Western Ross Sea,zig-zag transects,"Leonori I., De Felice A., Canduci G., Costantini I., Biagiotti I., Giuliani G., Budillon G. 2017. Krill distribution in relation to environmental parameters in mesoscale structures in the Ross Sea. Journal of Marine Systems, 166, 159-170",,,ITA,,,
2014,Jan,Italica,Italy (CNR IRBIM),88.1,,26.48023705,,,16800**,EK60,120,"38, 200","acoustic fingerprint at 38, 120, 200",fix,Fluid sphere model. TS equation: Greene et al. 1998,200,day and night,Western Ross Sea,Parallel transects,"Leonori I., De Felice A., Canduci G., Costantini I., Biagiotti I., Giuliani G., Budillon G. 2017. Krill distribution in relation to environmental parameters in mesoscale structures in the Ross Sea. Journal of Marine Systems, 166, 159-171 ",,,ITA,,,**reduced coverage due to time constraints
2016,Jan,Italica,Italy (CNR IRBIM),88.1,,5.38226619,,,12000**,EK60,120,"38, 200","acoustic fingerprint at 38, 120, 200",fix,Fluid sphere model. TS equation: Greene et al. 1999,200,day and night,Western Ross Sea,Parallel transects,,,,ITA,,,**reduced coverage due to time constraints
2016,Apr,F/V Kwang Ja,Korea ,48.1,,13.64,46.13,Jolly and Hampton,,EK60,120,38,dB difference,fixed (0.36 to 13.17),Greene et al. 1991,250,day and night,South Shetland Islands,Parallel transects,,,,KOR,,,
2019,Mar,F/V Kwang Ja,Korea ,48.1,,24.57,39.83,Jolly and Hampton,,EK60,120,38,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,,,,KOR,,,
2019,Mar,F/V Kwang Ja,Korea ,48.1,,14.48,44.45,Jolly and Hampton,,EK60,120,38,dB difference,fixed (-0.35 to 13.87),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,,,,KOR,,,
2008,Feb-Mar,RV Tangaroa,New Zealand,88.1,NZ IPY-CAML,0.93,95%CI 0-6.42,Bootstrapping,35818,EK60 ,38,"70, 120,200","Multifrequency response, swarms idenification",NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Slope 600-1200 m,O'Driscoll et al (2010),"O’Driscoll, R.L.; Macaulay, G.J.; Gauthier, S.; Mormede, S.; Pinkerton. M; Hanchet, S. (2010). Acoustic and mesopelagic trawl results from the New Zealand IPY-CAML survey of the Ross Sea region in February-March 2008. Final Research Report for Ministry of Fisheries Research Project IPY2007/01 Objective 5. 59 p. ",,,NZL,,,
2008,Feb-Mar,RV Tangaroa,New Zealand,88.1,NZ IPY-CAML,5.58,95%CI 0.21-11.29,Bootstrapping,179283,EK60 ,38,"70, 120,200","Multifrequency response, swarms idenification",NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,Splope/Abyss > 1200 m,O'Driscoll et al (2010),"O’Driscoll, R.L.; Macaulay, G.J.; Gauthier, S.; Mormede, S.; Pinkerton. M; Hanchet, S. (2010). Acoustic and mesopelagic trawl results from the New Zealand IPY-CAML survey of the Ross Sea region in February-March 2008. Final Research Report for Ministry of Fisheries Research Project IPY2007/01 Objective 5. 59 p. ",,,NZL,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.1,2019 synoptic,40.47688092,10.98898388,Jolly and Hampton,473318,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,AP,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom","48.2, 48.3",2019 synoptic,25.89848421,26.19352013,Jolly and Hampton,1109789,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,SS,As per CCAMLR 2000 survey,,,,synoptic,,,
2019,"Dec,Jan,Feb,Mar",several,"ARK,China,Korea,Norway,Ukraine,United Kingdom",48.4,2019 synoptic,23.857455,16.24168617,Jolly and Hampton,321800,"EK60,ES70,ES80,EK80",120,various,Swarms identification,NA,full SDWBA (ASAM 2010 parameterisation),250,day and night,ESS,As per CCAMLR 2000 survey,,,,synoptic,,,
